id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1502806,PA,8164.0,33830.0,3617.0,0.83142,22.0,111.37,14.77,13.0,0.0,1738.0,0.0
1200427,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,0.0,0.0,0.0
1200344,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,500.0,0.0,0.0
1200302,AC,11865.90909090909,37474.90909090909,7462.454545454545,0.83,25.14,105.89,20.79,1435.6363636363635,3751.0,0.0,0.0
1303106,AM,6480.0,26925.0,5578.0,0.91023,23.0,107.82,17.52,7063.0,0.0,0.0,0.0
1301506,AM,4185.0,17143.0,7506.0,0.73692,23.0,104.72,13.48,1263.0,905.0,0.0,0.0
1304203,AM,17460.0,73546.0,23692.0,0.90163,23.0,104.88,15.46,20384.0,1038.0,0.0,0.0
1301654,AM,3611.0,13790.0,7584.0,0.7764,23.0,106.04,15.99,328.0,0.0,0.0,0.0
1300805,AM,7986.0,33021.0,44236.0,0.88882,23.0,110.53,19.01,9386.0,5111.0,0.0,0.0
1301001,AM,7241.0,28668.0,25779.0,0.81991,23.0,105.31,16.33,1630.0,0.0,0.0,0.0
1300086,AM,2316.0,9944.0,2446.0,0.87756,23.0,109.73,14.62,965.0,213.0,0.0,0.0
1600212,AP,1156.0,4426.0,2179.0,0.89411,23.0,105.58,16.75,0.0,0.0,0.0,0.0
1600402,AP,5321.0,21802.0,13295.0,0.87556,23.0,108.34,16.05,23.0,0.0,1479.0,305.0
1600709,AP,3321.0,12900.0,6685.0,0.88788,23.0,110.28,15.65,11.0,0.0,58.0,58.0
1600253,AP,1361.0,5583.0,1623.0,0.89113,23.0,107.29,14.72,3.0,0.0,105.0,51.0
2104081,MA,2668.0,10861.0,5087.0,0.73776,23.0,108.49,17.7,3478.0,3400.0,468.0,0.0
2103158,MA,3283.0,12341.0,1168.0,0.79865,23.0,105.19,18.45,835.0,832.0,0.0,0.0
5006358,MS,3632.0,12728.0,1307.0,0.86013,23.0,102.3,19.76,5578.0,4998.0,0.0,0.0
1503101,PA,7375.0,31687.0,8570.0,0.82027,23.0,110.8,16.13,61.0,0.0,3471.0,2136.0
1505205,PA,8093.0,33694.0,3852.0,0.85649,23.0,108.9,16.53,14.0,0.0,3500.0,2663.0
1505908,PA,9065.0,40564.0,17423.0,0.86456,23.0,108.41,12.68,103.0,19.0,482.0,158.0
1500305,PA,9038.0,37658.0,8338.0,0.77974,23.0,109.14,15.56,29.0,0.0,0.0,0.0
